top_k,top_k_rate,top_n,base_positive_rate,top_positive_rate,lift,captured_positive_count,capture_rate,target_name,target_col,population,feature_set,model_type
Top 1%,0.01,1946,0.4402828961908727,0.5267214799588901,1.196325100329458,1025,0.011965772054960834,returned,returned_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 3%,0.03,5837,0.4402828961908727,0.5475415453143738,1.2436130271047414,3196,0.037309860963565686,returned,returned_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 5%,0.05,9728,0.4402828961908727,0.5438939144736842,1.2353282836540027,5291,0.061766731651510025,returned,returned_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 10%,0.1,19456,0.4402828961908727,0.5403988486842105,1.2273900561650146,10514,0.12273963647400801,returned,returned_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 1%,0.01,1946,0.4402828961908727,0.6397738951695786,1.4530973169855366,1245,0.014534035325293891,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
Top 3%,0.03,5837,0.4402828961908727,0.6260065101935925,1.4218279102129927,3654,0.042656518135440864,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
Top 5%,0.05,9728,0.4402828961908727,0.615953947368421,1.3989958562946105,5992,0.06995015234470763,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
Top 10%,0.1,19456,0.4402828961908727,0.5903063322368421,1.3407432751621833,11485,0.13407501663534163,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.07810894141829394,1.80806633353978,152,0.018084473527662105,paid,paid_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.08052081548740792,1.8638964117090535,470,0.05591909577632362,paid,paid_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.07781661184210527,1.8012994864233383,757,0.09006543723973826,paid,paid_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.07092927631578948,1.641871394494192,1380,0.16418798334324808,paid,paid_d4_28,전체 유저,환경축 only,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.10688591983556012,2.4741960353702246,208,0.024747174301011303,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.09628233681685798,2.2287442199584855,562,0.06686496133254015,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.09046052631578948,2.093980908920129,880,0.10469958358120167,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07838199013157894,1.8143868671040888,1525,0.18143961927424151,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
Top 1%,0.01,1946,0.4402828961908727,0.5549845837615622,1.2605181544934776,1080,0.012607837872544098,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,5837,0.4402828961908727,0.5675860887442179,1.2891395365450589,3313,0.038675710066424625,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,9728,0.4402828961908727,0.561780427631579,1.275953330215295,5465,0.06379799441986435,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,19456,0.4402828961908727,0.5528885690789473,1.2557575455741927,10757,0.12557639999533043,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,1946,0.4402828961908727,0.645426515930113,1.4659359278183404,1256,0.014662448488810544,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,5837,0.4402828961908727,0.6296042487579236,1.429999334984332,3675,0.042901670538518115,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,9728,0.4402828961908727,0.6155427631578947,1.398061947178259,5988,0.0699034566488834,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,19456,0.4402828961908727,0.591796875,1.3441286957089573,11514,0.13441356043006736,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 1%,0.01,1946,0.043200263159247326,0.07297019527235354,1.6891146010700573,142,0.01689470553242118,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,5837,0.043200263159247326,0.0788076066472503,1.8242390412471587,460,0.054729327781082686,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,9728,0.043200263159247326,0.07771381578947369,1.7989199626632018,756,0.08994646044021416,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,19456,0.043200263159247326,0.07159745065789473,1.6573382989350791,1393,0.16573468173706127,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,1946,0.043200263159247326,0.10277492291880781,2.379034649394447,200,0.02379535990481856,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,5837,0.043200263159247326,0.0957683741648107,2.2168470088199173,559,0.06650803093396787,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,9728,0.043200263159247326,0.08963815789473684,2.0749447188390366,872,0.10374776918500893,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,19456,0.043200263159247326,0.07802220394736842,1.806058533943611,1518,0.18060678167757288,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
Top 1%,0.01,33,0.3460837887067395,0.3333333333333333,0.9631578947368421,11,0.009649122807017544,returned,returned_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 3%,0.03,99,0.3460837887067395,0.45454545454545453,1.313397129186603,45,0.039473684210526314,returned,returned_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 5%,0.05,165,0.3460837887067395,0.4121212121212121,1.1908133971291865,68,0.05964912280701754,returned,returned_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 10%,0.1,330,0.3460837887067395,0.41515151515151516,1.1995693779904306,137,0.12017543859649123,returned,returned_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 1%,0.01,33,0.3460837887067395,0.6666666666666666,1.9263157894736842,22,0.01929824561403509,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
Top 3%,0.03,99,0.3460837887067395,0.6262626262626263,1.809569377990431,62,0.054385964912280704,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
Top 5%,0.05,165,0.3460837887067395,0.6121212121212121,1.7687081339712918,101,0.08859649122807017,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
Top 10%,0.1,330,0.3460837887067395,0.5818181818181818,1.6811483253588517,192,0.16842105263157894,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
Top 1%,0.01,33,0.03673345476624165,0.030303030303030304,0.8249436513899324,1,0.008264462809917356,paid,paid_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 3%,0.03,99,0.03673345476624165,0.050505050505050504,1.3749060856498871,5,0.04132231404958678,paid,paid_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 5%,0.05,165,0.03673345476624165,0.06666666666666667,1.8148760330578513,11,0.09090909090909091,paid,paid_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 10%,0.1,330,0.03673345476624165,0.048484848484848485,1.3199098422238917,16,0.1322314049586777,paid,paid_d4_28,관계 경험자,환경축 only,Baseline Logistic
Top 1%,0.01,33,0.03673345476624165,0.030303030303030304,0.8249436513899324,1,0.008264462809917356,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
Top 3%,0.03,99,0.03673345476624165,0.04040404040404041,1.09992486851991,4,0.03305785123966942,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
Top 5%,0.05,165,0.03673345476624165,0.03636363636363636,0.9899323816679187,6,0.049586776859504134,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
Top 10%,0.1,330,0.03673345476624165,0.03333333333333333,0.9074380165289256,11,0.09090909090909091,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
Top 1%,0.01,33,0.3460837887067395,0.8181818181818182,2.3641148325358854,27,0.02368421052631579,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,99,0.3460837887067395,0.696969696969697,2.0138755980861247,69,0.060526315789473685,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,165,0.3460837887067395,0.6787878787878788,1.9613397129186605,112,0.09824561403508772,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,330,0.3460837887067395,0.5515151515151515,1.5935885167464117,182,0.15964912280701754,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,33,0.3460837887067395,0.6666666666666666,1.9263157894736842,22,0.01929824561403509,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,99,0.3460837887067395,0.7171717171717171,2.072248803827751,71,0.062280701754385964,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,165,0.3460837887067395,0.6666666666666666,1.9263157894736842,110,0.09649122807017543,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,330,0.3460837887067395,0.6515151515151515,1.882535885167464,215,0.18859649122807018,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 1%,0.01,33,0.03673345476624165,0.12121212121212122,3.2997746055597297,4,0.03305785123966942,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 3%,0.03,99,0.03673345476624165,0.08080808080808081,2.19984973703982,8,0.06611570247933884,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 5%,0.05,165,0.03673345476624165,0.07878787878787878,2.144853493613824,13,0.10743801652892562,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 10%,0.1,330,0.03673345476624165,0.06060606060606061,1.6498873027798648,20,0.1652892561983471,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,Baseline Logistic
Top 1%,0.01,33,0.03673345476624165,0.0,0.0,0,0.0,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 3%,0.03,99,0.03673345476624165,0.030303030303030304,0.8249436513899324,3,0.024793388429752067,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 5%,0.05,165,0.03673345476624165,0.030303030303030304,0.8249436513899324,5,0.04132231404958678,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
Top 10%,0.1,330,0.03673345476624165,0.02727272727272727,0.7424492862509391,9,0.0743801652892562,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
