feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
grade_users_d0_3,2328,D0-D3 같은 학년 유저 수,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
friends_d3,2012,D3 친구 수,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
grade_active_users_d0_3,1391,D0-D3 같은 학년 활동 유저 수,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
class_users_d0_3,1374,D0-D3 같은 반 유저 수,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
class_active_users_d0_3,395,D0-D3 같은 반 활동 유저 수,returned,returned_d4_28,전체 유저,환경축 only,LightGBM
grade_users_d0_3,2373,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
friends_d3,2086,D3 친구 수,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
grade_active_users_d0_3,1278,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
class_users_d0_3,1228,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
class_active_users_d0_3,535,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,환경축 only,LightGBM
grade_users_d0_3,2379,D0-D3 같은 학년 유저 수,active_days,active_days_d4_28,전체 유저,환경축 only,LightGBM
friends_d3,2000,D3 친구 수,active_days,active_days_d4_28,전체 유저,환경축 only,LightGBM
class_users_d0_3,1499,D0-D3 같은 반 유저 수,active_days,active_days_d4_28,전체 유저,환경축 only,LightGBM
grade_active_users_d0_3,1266,D0-D3 같은 학년 활동 유저 수,active_days,active_days_d4_28,전체 유저,환경축 only,LightGBM
class_active_users_d0_3,356,D0-D3 같은 반 활동 유저 수,active_days,active_days_d4_28,전체 유저,환경축 only,LightGBM
grade_users_d0_3,2278,D0-D3 같은 학년 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 only,LightGBM
friends_d3,2162,D3 친구 수,payment_count,payment_count_d4_28,전체 유저,환경축 only,LightGBM
class_users_d0_3,1346,D0-D3 같은 반 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 only,LightGBM
grade_active_users_d0_3,1302,D0-D3 같은 학년 활동 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 only,LightGBM
class_active_users_d0_3,412,D0-D3 같은 반 활동 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 only,LightGBM
friends_d3,2313,D3 친구 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,LightGBM
grade_users_d0_3,2157,D0-D3 같은 학년 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,LightGBM
class_users_d0_3,1346,D0-D3 같은 반 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,LightGBM
grade_active_users_d0_3,1222,D0-D3 같은 학년 활동 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,LightGBM
class_active_users_d0_3,462,D0-D3 같은 반 활동 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 only,LightGBM
grade_users_d0_3,1888,D0-D3 같은 학년 유저 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
friends_d3,1621,D3 친구 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1244,D0-D3 같은 학년 활동 유저 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_users_d0_3,1077,D0-D3 같은 반 유저 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,320,D0-D3 수신 Ping 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,315,D0-D3 같은 반 활동 유저 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,230,D0-D3 고유 질문 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,153,D0-D3 발신 완료율,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,143,D0-D3 완료 발신 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,142,수신 후 포인트 사용 횟수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,86,D0-D3 발신 투표 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,70,D0-D3 선택 고유 유저 수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,65,D0-D3 발신 활동일수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,54,첫 수신 발생일,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,37,D0-D3 수신 경험 여부,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,23,D0-D3 발신 경험 여부,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,22,D0-D3 수신 발생일수,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,10,수신 후 포인트 사용 여부,returned,returned_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1936,D0-D3 같은 학년 유저 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
friends_d3,1872,D3 친구 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1150,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_users_d0_3,1119,D0-D3 같은 반 유저 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,497,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,252,D0-D3 수신 Ping 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,111,D0-D3 발신 완료율,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,110,수신 후 포인트 사용 횟수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,95,D0-D3 고유 질문 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,88,D0-D3 발신 투표 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,82,D0-D3 선택 고유 유저 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,60,D0-D3 완료 발신 수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,49,첫 수신 발생일,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,27,D0-D3 수신 발생일수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,27,D0-D3 발신 활동일수,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,22,D0-D3 수신 경험 여부,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,3,수신 후 포인트 사용 여부,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,paid,paid_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,2104,D0-D3 같은 학년 유저 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
friends_d3,1765,D3 친구 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_users_d0_3,1376,D0-D3 같은 반 유저 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1165,D0-D3 같은 학년 활동 유저 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,401,D0-D3 같은 반 활동 유저 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,174,D0-D3 수신 Ping 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,91,D0-D3 수신 경험 여부,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,82,D0-D3 완료 발신 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,81,D0-D3 발신 투표 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,73,첫 수신 발생일,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,58,D0-D3 고유 질문 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,41,D0-D3 수신 발생일수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,37,D0-D3 발신 활동일수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,23,D0-D3 발신 완료율,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,17,수신 후 포인트 사용 횟수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,10,D0-D3 선택 고유 유저 수,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,2,수신 후 포인트 사용 여부,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,active_days,active_days_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1962,D0-D3 같은 학년 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
friends_d3,1940,D3 친구 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_users_d0_3,1299,D0-D3 같은 반 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1239,D0-D3 같은 학년 활동 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,445,D0-D3 같은 반 활동 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,157,수신 후 포인트 사용 횟수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,113,D0-D3 수신 Ping 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,89,D0-D3 발신 완료율,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,61,D0-D3 고유 질문 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,55,첫 수신 발생일,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,52,D0-D3 발신 투표 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,41,D0-D3 완료 발신 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,15,D0-D3 선택 고유 유저 수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,13,D0-D3 수신 경험 여부,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,12,D0-D3 수신 발생일수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,6,수신 후 포인트 사용 여부,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,1,D0-D3 발신 활동일수,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,payment_count,payment_count_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
friends_d3,2171,D3 친구 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1870,D0-D3 같은 학년 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_users_d0_3,1323,D0-D3 같은 반 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1186,D0-D3 같은 학년 활동 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,454,D0-D3 같은 반 활동 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,132,수신 후 포인트 사용 횟수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,94,D0-D3 수신 Ping 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,68,첫 수신 발생일,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,41,D0-D3 발신 완료율,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,40,D0-D3 고유 질문 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,30,D0-D3 발신 투표 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,29,D0-D3 선택 고유 유저 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,23,D0-D3 수신 발생일수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,18,D0-D3 완료 발신 수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,10,수신 후 포인트 사용 여부,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,10,D0-D3 수신 경험 여부,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,1,D0-D3 발신 활동일수,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,LightGBM
