feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
grade_users_d0_3,2519,D0-D3 같은 학년 유저 수,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
friends_d3,2096,D3 친구 수,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
grade_active_users_d0_3,1415,D0-D3 같은 학년 활동 유저 수,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
class_users_d0_3,848,D0-D3 같은 반 유저 수,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
class_active_users_d0_3,622,D0-D3 같은 반 활동 유저 수,returned,returned_d4_28,관계 경험자,환경축 only,LightGBM
grade_users_d0_3,2543,D0-D3 같은 학년 유저 수,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
friends_d3,2376,D3 친구 수,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
class_users_d0_3,1077,D0-D3 같은 반 유저 수,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
grade_active_users_d0_3,925,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
class_active_users_d0_3,579,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,관계 경험자,환경축 only,LightGBM
grade_users_d0_3,2631,D0-D3 같은 학년 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 only,LightGBM
grade_active_users_d0_3,1790,D0-D3 같은 학년 활동 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 only,LightGBM
friends_d3,1753,D3 친구 수,active_days,active_days_d4_28,관계 경험자,환경축 only,LightGBM
class_users_d0_3,888,D0-D3 같은 반 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 only,LightGBM
class_active_users_d0_3,438,D0-D3 같은 반 활동 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 only,LightGBM
friends_d3,2505,D3 친구 수,payment_count,payment_count_d4_28,관계 경험자,환경축 only,LightGBM
grade_users_d0_3,2383,D0-D3 같은 학년 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 only,LightGBM
grade_active_users_d0_3,1103,D0-D3 같은 학년 활동 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 only,LightGBM
class_users_d0_3,1039,D0-D3 같은 반 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 only,LightGBM
class_active_users_d0_3,470,D0-D3 같은 반 활동 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 only,LightGBM
friends_d3,2426,D3 친구 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,LightGBM
grade_users_d0_3,2411,D0-D3 같은 학년 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,LightGBM
grade_active_users_d0_3,1145,D0-D3 같은 학년 활동 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,LightGBM
class_users_d0_3,983,D0-D3 같은 반 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,LightGBM
class_active_users_d0_3,535,D0-D3 같은 반 활동 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,LightGBM
grade_users_d0_3,1133,D0-D3 같은 학년 유저 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,898,D0-D3 수신 Ping 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
friends_d3,849,D3 친구 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,798,D0-D3 같은 학년 활동 유저 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,575,D0-D3 발신 완료율,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,536,D0-D3 고유 질문 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,475,D0-D3 완료 발신 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,428,D0-D3 발신 투표 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_users_d0_3,410,D0-D3 같은 반 유저 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,393,D0-D3 선택 고유 유저 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,371,D0-D3 같은 반 활동 유저 수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,334,수신 후 포인트 사용 횟수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,100,첫 수신 발생일,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,88,D0-D3 발신 활동일수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,85,D0-D3 수신 발생일수,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,18,수신 후 포인트 사용 여부,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,9,D0-D3 발신 경험 여부,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1433,D0-D3 같은 학년 유저 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
friends_d3,1392,D3 친구 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,951,D0-D3 수신 Ping 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_users_d0_3,674,D0-D3 같은 반 유저 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,493,D0-D3 같은 학년 활동 유저 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,438,D0-D3 발신 완료율,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,367,D0-D3 고유 질문 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,359,수신 후 포인트 사용 횟수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,294,D0-D3 선택 고유 유저 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,287,D0-D3 같은 반 활동 유저 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,230,D0-D3 발신 투표 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,219,D0-D3 완료 발신 수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,167,D0-D3 수신 발생일수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,136,첫 수신 발생일,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,38,D0-D3 발신 활동일수,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,12,수신 후 포인트 사용 여부,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,10,D0-D3 발신 경험 여부,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1742,D0-D3 같은 학년 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,1210,D0-D3 같은 학년 활동 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
friends_d3,1031,D3 친구 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,823,D0-D3 수신 Ping 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_users_d0_3,568,D0-D3 같은 반 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,303,D0-D3 같은 반 활동 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,287,D0-D3 발신 완료율,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,248,D0-D3 완료 발신 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,245,D0-D3 발신 투표 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,228,첫 수신 발생일,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,207,D0-D3 수신 발생일수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,194,D0-D3 고유 질문 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,157,D0-D3 선택 고유 유저 수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,131,수신 후 포인트 사용 횟수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,114,D0-D3 발신 활동일수,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,9,수신 후 포인트 사용 여부,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,3,D0-D3 발신 경험 여부,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1270,D0-D3 같은 학년 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
friends_d3,1244,D3 친구 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,991,D0-D3 수신 Ping 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_users_d0_3,574,D0-D3 같은 반 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,510,D0-D3 같은 학년 활동 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,491,수신 후 포인트 사용 횟수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,484,D0-D3 고유 질문 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,442,D0-D3 발신 완료율,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,301,D0-D3 발신 투표 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,299,D0-D3 선택 고유 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,299,D0-D3 완료 발신 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,282,D0-D3 같은 반 활동 유저 수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,134,D0-D3 수신 발생일수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,125,첫 수신 발생일,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,53,D0-D3 발신 활동일수,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,1,수신 후 포인트 사용 여부,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_users_d0_3,1354,D0-D3 같은 학년 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
friends_d3,1322,D3 친구 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_count_d0_3,918,D0-D3 수신 Ping 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_users_d0_3,625,D0-D3 같은 반 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
grade_active_users_d0_3,533,D0-D3 같은 학년 활동 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,478,수신 후 포인트 사용 횟수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,428,D0-D3 발신 완료율,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,376,D0-D3 고유 질문 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,329,D0-D3 선택 고유 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
class_active_users_d0_3,316,D0-D3 같은 반 활동 유저 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_count_d0_3,279,D0-D3 발신 투표 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,193,D0-D3 완료 발신 수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,150,첫 수신 발생일,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_days_d0_3,145,D0-D3 수신 발생일수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,51,D0-D3 발신 활동일수,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,2,수신 후 포인트 사용 여부,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
sent_vote_experience_d0_3,1,D0-D3 발신 경험 여부,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
received_vote_yn_d0_3,0,D0-D3 수신 경험 여부,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,LightGBM
